aics_Processing,centerDeltaT,PhysicalSizeY,PhysicalSizeX,aics_xTile,aics_PhysicalSizeY,aics_PhysicalSizeX,aics_Model,aics_PhysicalSizeXUnit,centerExposureTime,aics_yTile,aics_SampleName,centerPositionY,centerPositionX,centerPositionZ,Type,aics_experiment,Name,centerTheC,DimensionOrder,centerPositionZUnit,aics_SampleType,aics_PixelType,aics_cameraID,ID,aics_Type,centerTheT,PhysicalSizeXUnit,centerPositionXUnit,PhysicalSizeYUnit,aics_Manufacturer,AcquisitionDate,BigEndian,aics_filePath,aics_SizeX,aics_SizeY,aics_imageObjectPosY,aics_imageObjectPosX,aics_imageObjectPosZ,centerExposureTimeUnit,aics_barcode,aics_well,aics_PhysicalSizeYUnit,SizeX,SizeY,SizeZ,Interleaved,aics_imageAbsPosY,aics_imageAbsPosX,aics_imageAbsPosZ,SignificantBits
,,,,,6.5,6.5,,mum,,,D10_0002,,,,,ScanColonies.czexp,,,,,colony,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\Colonies\D10_0002_x-597.18_y0.0_z0.czi,1024,1024,,,,,3500000093,D10,mum,,,,,27188.257,91823.816,8580.7,
,,,,,6.5,6.5,,mum,,,D10_0002,,,,,ScanColonies.czexp,,,,,colony,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\Colonies\D10_0002_x-597.18_y597.18_z0.czi,1024,1024,,,,,3500000093,D10,mum,,,,,27785.437,91823.816,8580.7,
,,,,,6.5,6.5,,mum,,,D10_0002,,,,,ScanColonies.czexp,,,,,colony,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\Colonies\D10_0002_x0.0_y-597.18_z0.czi,1024,1024,,,,,3500000093,D10,mum,,,,,26591.077,92420.996,8580.7,
,,,,,6.5,6.5,,mum,,,D10_0002,,,,,ScanColonies.czexp,,,,,colony,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\Colonies\D10_0002_x0.0_y0.0_z0.czi,1024,1024,,,,,3500000093,D10,mum,,,,,27188.257,92420.996,8580.7,
,,,,,6.5,6.5,,mum,,,D10_0002,,,,,ScanColonies.czexp,,,,,colony,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\Colonies\D10_0002_x0.0_y597.18_z0.czi,1024,1024,,,,,3500000093,D10,mum,,,,,27785.437,92420.996,8580.7,
,,,,,6.5,6.5,,mum,,,D10_0002,,,,,ScanColonies.czexp,,,,,colony,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\Colonies\D10_0002_x597.18_y-597.18_z0.czi,1024,1024,,,,,3500000093,D10,mum,,,,,26591.077,93018.176,8580.7,
,,,,,6.5,6.5,,mum,,,D10_0002,,,,,ScanColonies.czexp,,,,,colony,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\Colonies\D10_0002_x597.18_y0.0_z0.czi,1024,1024,,,,,3500000093,D10,mum,,,,,27188.257,93018.176,8580.7,
,,,,,6.5,6.5,,mum,,,D10_0002,,,,,ScanColonies.czexp,,,,,colony,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\Colonies\D10_0002_x597.18_y597.18_z0.czi,1024,1024,,,,,3500000093,D10,mum,,,,,27785.437,93018.176,8580.7,
,,,,,6.5,6.5,,mum,,,D10_0006,,,,,ScanColonies.czexp,,,,,colony,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\Colonies\D10_0006_x-597.18_y-597.18_z0.czi,1024,1024,,,,,3500000093,D10,mum,,,,,29264.328,90578.03,8563.401,
,,,,,6.5,6.5,,mum,,,D10_0006,,,,,ScanColonies.czexp,,,,,colony,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\Colonies\D10_0006_x-597.18_y0.0_z0.czi,1024,1024,,,,,3500000093,D10,mum,,,,,29861.508,90578.03,8563.401,
,,,,,6.5,6.5,,mum,,,D10_0006,,,,,ScanColonies.czexp,,,,,colony,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\Colonies\D10_0006_x-597.18_y597.18_z0.czi,1024,1024,,,,,3500000093,D10,mum,,,,,30458.688,90578.03,8563.401,
,,,,,6.5,6.5,,mum,,,D10_0006,,,,,ScanColonies.czexp,,,,,colony,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\Colonies\D10_0006_x0.0_y-597.18_z0.czi,1024,1024,,,,,3500000093,D10,mum,,,,,29264.328,91175.21,8563.401,
,,,,,6.5,6.5,,mum,,,D10_0006,,,,,ScanColonies.czexp,,,,,colony,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\Colonies\D10_0006_x0.0_y0.0_z0.czi,1024,1024,,,,,3500000093,D10,mum,,,,,29861.508,91175.21,8563.401,
,,,,,6.5,6.5,,mum,,,D10_0006,,,,,ScanColonies.czexp,,,,,colony,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\Colonies\D10_0006_x0.0_y597.18_z0.czi,1024,1024,,,,,3500000093,D10,mum,,,,,30458.688,91175.21,8563.401,
,,,,,6.5,6.5,,mum,,,D10_0006,,,,,ScanColonies.czexp,,,,,colony,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\Colonies\D10_0006_x597.18_y-597.18_z0.czi,1024,1024,,,,,3500000093,D10,mum,,,,,29264.328,91772.39,8563.401,
,,,,,6.5,6.5,,mum,,,D10_0006,,,,,ScanColonies.czexp,,,,,colony,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\Colonies\D10_0006_x597.18_y0.0_z0.czi,1024,1024,,,,,3500000093,D10,mum,,,,,29861.508,91772.39,8563.401,
,,,,,6.5,6.5,,mum,,,D10_0006,,,,,ScanColonies.czexp,,,,,colony,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\Colonies\D10_0006_x597.18_y597.18_z0.czi,1024,1024,,,,,3500000093,D10,mum,,,,,30458.688,91772.39,8563.401,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-1,6.5,6.5,,mum,,0,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/WellEdge_B3_-1_0.czi,1024,1024,,,,,3500000093,B3,mum,,,,,11312.425,15577.48,8689.44,
,,,,1,6.5,6.5,,mum,,0,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/WellEdge_B3_1_0.czi,1024,1024,,,,,3500000093,B3,mum,,,,,11312.425,21711.48,8689.44,
,,,,0,6.5,6.5,,mum,,1,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/WellEdge_B3_0_1.czi,1024,1024,,,,,3500000093,B3,mum,,,,,8245.425,18644.48,8689.44,
