aics_Processing,centerDeltaT,PhysicalSizeY,PhysicalSizeX,aics_xTile,aics_PhysicalSizeY,aics_PhysicalSizeX,aics_Model,aics_PhysicalSizeXUnit,centerExposureTime,aics_yTile,aics_SampleName,centerPositionY,centerPositionX,centerPositionZ,Type,aics_experiment,Name,centerTheC,DimensionOrder,centerPositionZUnit,aics_SampleType,aics_PixelType,aics_cameraID,ID,aics_Type,centerTheT,PhysicalSizeXUnit,centerPositionXUnit,PhysicalSizeYUnit,aics_Manufacturer,AcquisitionDate,BigEndian,aics_filePath,aics_SizeX,aics_SizeY,aics_imageObjectPosY,aics_imageObjectPosX,aics_imageObjectPosZ,centerExposureTimeUnit,aics_barcode,aics_well,aics_PhysicalSizeYUnit,SizeX,SizeY,SizeZ,Interleaved,aics_imageAbsPosY,aics_imageAbsPosX,aics_imageAbsPosZ,SignificantBits
,,,,-1,6.5,6.5,,mum,,0,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_4_28\References/WellEdge_G11_-1_0.czi,1024,1024,,,,,3500000860,G11,mum,,,,,57447.0,93769.43,9790.09,
,,,,1,6.5,6.5,,mum,,0,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_4_28\References/WellEdge_G11_1_0.czi,1024,1024,,,,,3500000860,G11,mum,,,,,57447.0,99903.43,9790.09,
,,,,0,6.5,6.5,,mum,,1,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_4_28\References/WellEdge_G11_0_1.czi,1024,1024,,,,,3500000860,G11,mum,,,,,54380.0,96836.43,9790.09,
,,,,0,6.5,6.5,,mum,,-1,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_4_28\References/WellEdge_G11_0_-1.czi,1024,1024,,,,,3500000860,G11,mum,,,,,60514.0,96836.43,9790.07,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-1,6.5,6.5,,mum,,0,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_4_28\References/WellEdge_B2_-1_0.czi,1024,1024,,,,,3500000860,B2,mum,,,,,12493.455,12917.606,9842.03,
,,,,1,6.5,6.5,,mum,,0,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_4_28\References/WellEdge_B2_1_0.czi,1024,1024,,,,,3500000860,B2,mum,,,,,12493.455,19051.606,9842.03,
,,,,0,6.5,6.5,,mum,,1,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_4_28\References/WellEdge_B2_0_1.czi,1024,1024,,,,,3500000860,B2,mum,,,,,9426.455,15984.606,9842.03,
,,,,0,6.5,6.5,,mum,,-1,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_4_28\References/WellEdge_B2_0_-1.czi,1024,1024,,,,,3500000860,B2,mum,,,,,15560.455,15984.606,9842.03,
,,,,-1,6.5,6.5,,mum,,0,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_4_28\References/WellEdge_B11_-1_0.czi,1024,1024,,,,,3500000860,B11,mum,,,,,12454.655,93800.447,9662.3,
,,,,1,6.5,6.5,,mum,,0,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_4_28\References/WellEdge_B11_1_0.czi,1024,1024,,,,,3500000860,B11,mum,,,,,12454.655,99934.447,9662.3,
,,,,0,6.5,6.5,,mum,,1,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_4_28\References/WellEdge_B11_0_1.czi,1024,1024,,,,,3500000860,B11,mum,,,,,9387.655,96867.447,9662.3,
,,,,0,6.5,6.5,,mum,,-1,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_4_28\References/WellEdge_B11_0_-1.czi,1024,1024,,,,,3500000860,B11,mum,,,,,15521.655,96867.447,9662.3,
,,,,-1,6.5,6.5,,mum,,0,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_4_28\References/WellEdge_G11_-1_0.czi,1024,1024,,,,,3500000860,G11,mum,,,,,57474.675,93773.362,9784.97,
,,,,1,6.5,6.5,,mum,,0,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_4_28\References/WellEdge_G11_1_0.czi,1024,1024,,,,,3500000860,G11,mum,,,,,57474.675,99907.362,9784.97,
,,,,0,6.5,6.5,,mum,,1,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_4_28\References/WellEdge_G11_0_1.czi,1024,1024,,,,,3500000860,G11,mum,,,,,54407.675,96840.362,9784.97,
,,,,0,6.5,6.5,,mum,,-1,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_4_28\References/WellEdge_G11_0_-1.czi,1024,1024,,,,,3500000860,G11,mum,,,,,60541.675,96840.362,9784.97,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-1,6.5,6.5,,mum,,0,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_4_28\References/WellEdge_B2_-1_0.czi,1024,1024,,,,,3500000860,B2,mum,,,,,12488.823,12925.509,9525.84,
,,,,1,6.5,6.5,,mum,,0,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_4_28\References/WellEdge_B2_1_0.czi,1024,1024,,,,,3500000860,B2,mum,,,,,12488.823,19059.509,9525.84,
,,,,0,6.5,6.5,,mum,,1,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_4_28\References/WellEdge_B2_0_1.czi,1024,1024,,,,,3500000860,B2,mum,,,,,9421.823,15992.509,9525.84,
,,,,0,6.5,6.5,,mum,,-1,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_4_28\References/WellEdge_B2_0_-1.czi,1024,1024,,,,,3500000860,B2,mum,,,,,15555.823,15992.509,9525.84,
,,,,-1,6.5,6.5,,mum,,0,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_4_28\References/WellEdge_B11_-1_0.czi,1024,1024,,,,,3500000860,B11,mum,,,,,12447.0,93824.0,9278.07,
,,,,1,6.5,6.5,,mum,,0,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_4_28\References/WellEdge_B11_1_0.czi,1024,1024,,,,,3500000860,B11,mum,,,,,12447.0,99958.0,9278.07,
,,,,0,6.5,6.5,,mum,,1,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_4_28\References/WellEdge_B11_0_1.czi,1024,1024,,,,,3500000860,B11,mum,,,,,9380.0,96891.0,9278.07,
,,,,0,6.5,6.5,,mum,,-1,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_4_28\References/WellEdge_B11_0_-1.czi,1024,1024,,,,,3500000860,B11,mum,,,,,15514.0,96891.0,9278.07,
,,,,-1,6.5,6.5,,mum,,0,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_4_28\References/WellEdge_G11_-1_0.czi,1024,1024,,,,,3500000860,G11,mum,,,,,57447.0,93824.0,9419.74,
